X,A1,A3,A1gf,760006_A,A1ee,3804_A,70045_A,3283_A,A1gc,3528_A,A1du,A1g,364485_A,922_A,1767146_A,72388_A,969_A,1438_A,73416_A,7561_A,33881_A,A3w,76466_A,363131_A,3177_A,6772_A,9434_A,2058_A,B1,C3ae,C3f,C3bj,C3,C3p,C3g,C3k,55_C,C3ch,C21,152_C,C3gj,C3in,C21.12,38_C,48_C,C3io,53_C,236_C,44_C,925363_C,62_C,C3il,C3im,C3.10,C3gl,47_C,C3hv,181_C,397_C,C3fj,54_C,240_C,C3.11,33161_C,33162_C,169_C,56_C,66_C,140_C,69_C,63351_C,76_C,C3b,C3cp,C3.9,65_C,884538_C,33164_C,70_C,891932_C,237_C,39_C,1778091_C,33171_C,C116,33163_C,C3h,418_C,46445_C,42_C,33180_C,1778086_C,756765_C,C3fv,241_C,51_C,288_C,243_C,34_C,46449_C,32995_C,1500390_C,920736_C,64_C,75_C,744202_C,144_C,67_C,238_C,61_C,1778090_C,931204_C,68_C,915532_C,1004567_C,45_C,174_C,1778087_C,178_C,C116i,1778089_C,399_C,401_C,1778085_C,744126_C,1778093_C,1778095_C,915536_C,1778082_C,49_C,1778094_C,1778083_C,918332_C,924760_C,915370_C,33097_C,1778088_C,290_C,1500999_C,1778097_C,50_C,921509_C,928011_C,917448_C,1778096_C,1501479_C,293_C,1778084_C,33179_C,917792_C,32946_C,921522_C,1778092_C,917067_C,1768442_C,747180_C,471_C
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359,311,218,154,200,0,48,54,74,39,26,24,0,28,25,27,0,0,0,26,0,21,0,0,13,17,0,0,13,0,12,16,0,14,0,0,20,14,0,11,0,0,14,14,12,14,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690,463,403,408,279,0,79,88,195,85,61,39,52,47,41,54,0,31,0,0,28,29,58,0,0,24,25,0,41,45,0,64,0,25,0,0,27,0,0,0,0,27,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716,391,291,296,239,37,47,60,229,72,21,69,0,47,31,37,100,0,62,32,0,0,0,0,0,30,0,23,0,76,21,0,0,28,0,0,27,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,168,144,177,173,0,35,29,49,47,50,34,0,20,0,21,0,0,0,11,0,0,0,0,0,15,0,8,0,0,11,0,14,24,0,0,28,0,13,0,0,17,10,21,0,11,0,0,0,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498,183,226,313,152,0,42,36,136,91,32,28,0,43,0,26,0,25,0,0,0,0,0,0,19,20,0,27,18,34,27,18,24,23,0,0,0,40,23,0,0,34,52,16,21,24,23,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619,365,220,220,190,0,53,60,16,31,28,46,286,37,41,45,0,26,0,29,88,0,145,131,0,16,0,27,0,0,0,0,0,29,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2510,650,345,470,297,0,124,98,0,59,53,45,346,45,86,52,0,57,0,41,242,39,254,140,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629,774,382,275,182,0,110,71,0,54,59,39,175,23,84,57,0,29,0,56,64,54,106,51,0,0,21,0,0,0,0,0,0,0,0,0,30,0,26,39,18,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,457,198,194,142,0,63,35,20,53,27,18,135,40,45,38,0,22,0,25,104,29,86,65,18,0,13,0,14,0,0,0,0,12,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,162,91,286,111,0,27,29,15,48,14,34,191,31,25,30,0,11,0,0,73,0,109,87,17,13,0,0,16,0,11,16,30,12,0,0,0,16,16,0,0,0,0,13,0,10,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
