sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90
97,134655,-0.20701743896494706,0.05027057844153008,-0.0367014023743263,-0.05063314046164818,0.006832778334852392,0.02455914001791087,0.013544432007559438,0.0012182012712143254,-0.023000040567046794,-0.004509139396878664,-0.03406056964278928,0.009933853827385557,-0.008298851185284556,-0.009414359094023456,0.01473383802073779,0.01581018214297006,-0.01941595109116642,-2.1266696838263015e-05,-0.018879935277632817,0.01668985665743385,0.012589053772759736,-0.009192472902360246,-0.005665010950411191,0.009113078155864807,-0.0007319060500735767,0.004773394530403779,0.007174649465669754,0.02159357372391287,0.002627147811186421,-0.0012559272862378713,0.00041715597158371897,-0.008045756368526405,-0.010880920436018087,-0.01040020245577124,-0.002304706549844406,0.010957959425187246,0.006082423042002002,0.0016351706367969728,-0.0027029171994931043,-0.0019216581594230224,-0.003131565000590247,-0.0015182940089089859,0.0005632591267361917,-0.00849979689362968,-0.00131072258498003,0.0002483942037160089,-0.0005546539016227352,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,134656,-0.1883823002028213,0.06869757140334308,0.0058925486216058615,-0.025312285261631196,-0.028658811340846378,0.05547662563075887,0.043556619440916,-0.0473307432826948,0.026553487250788068,0.04342816509389753,-0.07366476976714438,-0.004932542312710494,0.011658051672658022,-0.009948615546648738,0.05842792082886874,0.005953543095953142,-0.004685028123205959,0.00992796052259353,-0.00355200819018675,-0.0009792506921193359,-0.006182090462790141,0.01134534179371218,0.0009811387515710254,-0.0012013962726694486,0.020665383769997915,-0.0053841956359779765,-0.0014708062091759123,-0.0011163772436533594,0.004668921413224833,-0.003472076267411243,-0.007726579861669716,0.0037127733952576993,0.012444970760572384,-0.004174969611901789,0.0012570330913352257,0.0014096764613567847,-0.00697738302893403,-0.00515177723026368,0.008439301659029287,0.004765508201153761,-0.0005925426042097711,0.0014345916062281211,-0.005161565726720973,-0.0007151286244812268,-0.0009994014492411111,-0.0032437109999858753,-0.0023154503241559947,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,134657,-0.12827549818450323,0.012766239253722009,-0.005198871883172979,-0.032353480163079075,-0.0529362471300812,-0.005138091939963614,-0.005293468881478638,0.00855509035599871,0.02411402775414551,-0.010519960336116055,0.01642137714578534,-0.003227563118876306,0.004534524684277922,0.03696899700362316,0.015454704659564071,0.006449179161429316,0.006231815719629183,0.0147521589171457,0.0048559893212341155,0.001086355445065554,-0.02233183630233848,0.00256478826918112,0.00016186168501579679,-0.009704184856525402,0.019701952073378555,0.009791037215589786,-0.018181108080611408,-0.0010436253299759663,0.0020052279501805285,-0.010595607973374863,0.01901494672332006,0.002861962463069974,0.009362617645893202,-0.006650828382481013,-0.00758059785955724,-0.015247312240216762,0.004452548624328351,-0.00837277489386658,-0.006125072927653446,0.005596479914499525,0.0020844654116625016,-0.0003055105241199418,-0.004630129865482689,-0.002640327693281596,0.0011300729332658422,0.007320151533889386,-0.0004083967393334146,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,134658,-0.054526105540500566,0.00686260455959648,0.058574295773165024,0.07352966864868336,-0.01421075449797795,-0.007727561870785052,0.02794880308992167,0.03759306410556975,-0.013409733993046529,0.002732665943749708,0.025169899190773126,0.046742248225570625,-0.0011475983651165634,-0.009572523277995921,-0.02546481037154974,0.010826144512906357,-0.041318217190401345,-0.0033994942714192767,-0.008332801090647338,0.012922224652082724,0.0009364475362925367,-0.0029217936044368584,-0.020129566393358257,-0.006103051914969382,-0.0020273160711250103,-0.016293421414025847,0.005503818147774707,-0.005060897290737846,0.011003894213139773,-0.0011053391558754659,0.00022058745626764092,-0.016968817606526354,-0.005100423975798714,0.006256650096087012,0.00748256228359259,-0.004971360087758983,-0.0018563743820376574,-0.011903121069350438,0.0050941756072295065,0.008570995882685215,-0.001770093380321983,0.005170422799895527,-0.0045306206503774055,0.00867038818913193,-0.0011020205063190403,-0.00312865787666148,9.382319149935758e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,134659,-0.012506656228035398,-0.03438226244158269,0.028516820922568194,0.05142964491387746,0.006752008132612515,-0.05715049760386178,-0.024172880652374062,0.01254348906208968,-0.01431812033874184,0.023980675918616388,-0.013873140962105736,0.007929993747202598,-0.030300572795422018,-0.02359533926322421,0.022082763144380797,0.02575101523045035,-0.0057364801397955635,0.021903748727278533,-0.004112765064253765,-0.02798464567147924,0.007685121095132651,-0.010973976885666922,-0.003422910170867503,-0.021476730141579536,-0.004524921432125491,-0.013011539658101484,0.00953969689387971,-0.0006775840926917802,0.001769674088177361,-0.016175738873126486,-0.00576004346294681,0.009385294949136081,-0.003269562712518406,0.0060943011791960485,-0.006111361310589517,-0.0035239690805384705,0.01086608391776771,0.0011698590369923947,-0.009860328324450112,0.007072502298292625,0.00041871035743526073,-0.009393164707776918,-0.002332201519135421,7.319747166424066e-05,-0.0022776664434961983,0.002135736007629608,-0.0018573840167234368,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,134660,0.45164652682258655,0.15327398759413402,-0.06110936985234627,0.022723703705587076,-0.08252502480521373,-0.0065499023291627585,0.036850682244346095,0.0936570547474458,0.056519915050971765,-0.02142913406448824,-0.0003326857195314519,0.04758572827887905,0.004464764633530579,0.02601269204826039,-0.012298367695534631,0.042084975167724255,0.014058717102406809,-0.03669738075251279,0.021570426438686584,0.006476675891171039,0.005095274800631611,0.0030480805328689637,0.003688479085233587,-0.012544448076139872,0.0018917734284270627,-0.0010344008238238683,0.011986025886613155,0.005952771342823039,-0.0009137041642725669,0.014794159271677935,-0.016115275411066433,-0.0026949572241992733,0.010856422323413882,0.0015122263485474949,0.0036903430691273146,0.0014003486958974072,0.00015702470463305293,-0.0012217775938486509,-0.0028751142198533202,-0.0009871916565455567,0.0019593362120523413,-0.0005132725730440609,-0.00028862935043769367,0.00016704561115109764,-0.0004347352673825869,-0.00031756273732775746,-0.0017192724206679545,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,134661,0.06768124195739894,-0.055062833525804294,-0.018372244347535774,-0.016931857153405366,0.037993194224647406,-0.1067605929644155,-0.03947849968867094,0.045328571986121224,-0.017759556752762546,-0.018550508988013734,-0.08182687321021637,-0.017300132738516445,-0.021770839319671925,0.001247461056843019,-0.013016218102061099,-0.0039983947951089775,-0.00336198844157487,0.005953291282372301,0.011283381912842786,-0.027036204564500795,-0.011617300862292254,0.008107869024548601,0.025913428400939086,0.007526707061062825,-0.000643439017647709,-0.01854877595756734,-0.02362277974194719,0.011626927681314033,-0.002238327392243264,0.011252033400119692,0.0006208684288851839,-0.013970558615308616,0.003170819901196255,-0.002151764818310986,-0.0010645163370901157,0.008451431092438443,-0.004350697719060104,-0.00297919154247502,0.000998954187134373,0.0014174935279951735,-0.001481925864175365,0.0027522518348364494,0.004129018030340018,0.0005387050819505097,-0.001600492973584351,0.0008332534287652159,-0.0005538282366227841,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,134662,-0.03555102701928243,-0.021490772399509694,0.019240674077821963,0.029191627994307287,0.020999338391490728,-0.0503268966885439,-0.04351617897911389,9.576653601808914e-07,-0.03804865177468769,0.00425923154577088,-0.021470182730045105,0.01802100948259763,0.011364827734711385,0.01121749285736131,-0.01414574559968306,0.005675248323253231,0.041085759741011245,0.016293861484360125,0.009240712353680314,-0.008468262134809732,0.01725396473833906,0.004443391861606735,-0.01388163251469876,-0.009672745115649755,-0.008057191628347967,-0.011098041408910995,0.0026906529616002864,-0.01175343097316369,0.01964574984485536,-0.014761262000862054,0.005921323902897041,-0.007614297238496305,-0.008721232781314254,0.0023472625134306,-0.005138694106362344,0.0024138445863443317,-0.003371138862690033,0.006539495056478046,-0.005176541556624886,-0.006754636373419282,0.002414321832068701,0.00028642660756445046,-0.0009459138513155242,0.0002987248500031763,-0.0028827206294944094,-0.0038799832496124154,0.00010768553021288934,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,134663,-0.12436653963228292,0.021335209436859983,-0.0012342072581749625,-0.03685169132554183,-0.011190940115714351,-0.006705586054931357,0.013807548003195181,0.03302510416091389,-0.004425776087231661,0.015956750826039562,0.01219351575756863,0.023126502926971645,0.03230095824576305,0.017167629292541085,0.01973565227001749,-0.014798314823680494,-0.003470971356435775,-0.015364362711226329,-0.037548982413180665,-0.005658151865771202,0.004590363440698802,0.008503042446380215,-0.006498014385399304,-0.007052178275614829,-0.028229903169421984,-0.0028195918220552834,0.0019572210887494603,0.006274347490207293,0.007617420901034203,-0.011865778327131241,-0.010395861275790308,0.006710771852515091,0.002799841468408293,-0.007317759723478477,-0.0020863818591215456,-0.004405085233169636,-0.002948162582774303,-0.009155000309633475,-0.0008448171706152458,-0.001392721871170244,-0.0069667582806410226,0.0177972412628242,0.005316434305652967,-5.4733976957825205e-05,0.0003218922067643434,0.0031311712500420134,-0.0024770941604219956,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,134664,0.017547736254560305,-0.036471473863350444,0.028683487664502263,0.018606534781887726,0.009311756534198315,-0.06347350318086759,-0.04865805390794151,-0.0046983992506883475,-0.034848650948909814,0.006372520987823773,-0.046386819234204374,-0.001429530822046095,-0.011741671795025683,-0.030601207820776348,-0.0044803688372145045,0.005839723431584553,0.013479234535469863,-0.011559387447561409,-2.1251683887565644e-05,0.0005195953783598306,0.005474804905648602,0.009302120939487613,-0.020890514803948733,-0.00468123396203289,0.008728986131148765,0.03314608848265671,0.004249065182262465,-0.010069127447198066,-0.003973418437575324,0.02062222470002067,-0.012494796960548213,0.01632050340193602,0.0019978386577789616,-0.0012809109173194432,0.001928560024818561,-0.00545361030824901,0.007664911170949659,0.010012838324017892,-0.004613286350324262,0.001162820076134981,0.0005347614998157574,0.008936350036990255,-0.00035588669379153814,-0.003574209323351952,0.0027994071601849945,0.00044333371258488175,-0.00039466788502256367,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
