"","Row.names","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","island","site","zone","site_zone","even","PD","SR"
"65","F8","F8",37,1.31657667708612,1.7279894644788,"F",8,"TO_F8",421,"Tahiti","TNW","Forereef","TNW-F",0.364609971463464,12.4049877637431,37
"66","G1","G1",69,2.38473058059561,4.69960317450614,"G",1,"MNWI_G1",70,"Moorea","MNW","Backreef","MNW-B",0.563219318646412,17.8123667879071,70
"67","G10","G10",32,1.26643597218861,2.76489913081181,"G",10,"MSEI_G10",377,"Moorea","MSE","Backreef","MSE-B",0.36541617933598,12.9650722197991,32
"68","G11","G11",41,1.30122303455497,2.19606420048581,"G",11,"MSEO_G11",614,"Moorea","MSE","Forereef","MSE-F",0.35039660229612,12.7839998455983,41
"69","G12","G12",106,2.84459773048598,5.0875336367501,"G",12,"MSEO_G12",632,"Moorea","MSE","Forereef","MSE-F",0.609978531525692,22.2473901811103,106
"70","G2","G2",76,2.43364474155231,5.25004643641489,"G",2,"MNWI_G2",98,"Moorea","MNW","Backreef","MNW-B",0.561947492567484,16.8049114458781,77
"71","G3","G3",64,1.66875209411319,2.88997611333999,"G",3,"MNWO_G3",158,"Moorea","MNW","Forereef","MNW-F",0.401250061775029,19.3905065845966,64
"72","G4","G4",48,1.0775802896824,1.86646591961417,"G",4,"MNWO_G4",179,"Moorea","MNW","Forereef","MNW-F",0.278358133986352,13.8568067257571,49
"73","G5","G5",92,2.16897451831559,3.7162681475022,"G",5,"TI_G5",516,"Tahiti","TNW","Backreef","TNW-B",0.479671811575738,19.6797938797879,93
"74","G6","G6",41,1.30900425429775,2.38894690696009,"G",6,"TI_G6",540,"Tahiti","TNW","Backreef","TNW-B",0.352491948664256,11.4303380332555,41
"75","G7","G7",73,2.35268853337711,4.90057843143754,"G",7,"TO_G7",402,"Tahiti","TNW","Forereef","TNW-F",0.548353519162364,16.2209682991334,75
"76","G8","G8",58,2.18378301097332,3.41558883987446,"G",8,"TO_G8",425,"Tahiti","TNW","Forereef","TNW-F",0.537818904316907,15.0251725171156,58
"77","H1","H1",98,2.079634401846,3.45392602847746,"H",1,"MNWI_H1",72,"Moorea","MNW","Backreef","MNW-B",0.453576696349654,26.2775333432759,98
"78","H10","H10",43,1.43959396776874,1.82613190962186,"H",10,"MSEI_H10",378,"Moorea","MSE","Backreef","MSE-B",0.382748570532594,14.147780617593,43
"79","H11","H11",103,3.25640610601684,13.2404070770734,"H",11,"MSEO_H11",616,"Moorea","MSE","Forereef","MSE-F",0.702609821261785,25.5944855156758,106
"80","H12","H12",117,3.0970761736755,9.37358871892012,"H",12,"MSEO_H12",633,"Moorea","MSE","Forereef","MSE-F",0.650349234631017,20.9996007195307,119
"81","H2","H2",36,0.78755727457303,1.51407359768386,"H",2,"MNWI_H2",101,"Moorea","MNW","Backreef","MNW-B",0.219772041978473,11.7408288609537,37
"82","H6","H6",43,1.83668802399495,3.41129254975127,"H",6,"TI_H6",545,"Tahiti","TNW","Backreef","TNW-B",0.488324994017572,12.7364005297438,43
"83","H8","H8",39,1.45941766914261,1.88867192854728,"H",8,"TO_H8",427,"Tahiti","TNW","Forereef","TNW-F",0.398360341686731,12.2269052220596,39
"84","H9","H9",34,1.37447049449693,2.491062567793,"H",9,"MSEI_H9",307,"Moorea","MSE","Backreef","MSE-B",0.38977027019849,10.055187980337,34
