"","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone","is.neg"
"49","E4",70,2.4191178564664,5.49907857530948,"E",4,"MNWO_E4",177,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"50","E5",54,0.763231117703666,1.36666488189619,"E",5,"TI_E5",511,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"51","E6",62,1.48699629994632,2.15689080038941,"E",6,"TI_E6",533,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"52","E7",29,1.10572341620979,1.59230932820701,"E",7,"TO_E7",397,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"53","E8",54,1.67107353508085,2.04329619183596,"E",8,"TO_E8",418,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"54","E9",35,1.53496577758003,2.98145078450005,"E",9,"MSEI_E9",303,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"55","F1",43,1.57029610089616,2.14736271011922,"F",1,"MNWI_F1",65,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"56","F10",61,1.31968155341619,2.07432494051965,"F",10,"MSEI_F10",351,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"57","F11",71,2.01351024339189,4.82139273530002,"F",11,"MSEO_F11",612,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"58","F12",63,1.73305409226539,2.69626970665231,"F",12,"MSEO_F12",630,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"59","F2",101,2.58088156526943,3.73935490096741,"F",2,"MNWI_F2",97,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"60","F3",93,2.46450318029355,3.92548762746346,"F",3,"MNWO_F3",157,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"61","F4",64,1.65861191235144,2.57582846322616,"F",4,"MNWO_F4",178,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"62","F5",55,1.90742102615509,3.48620834575061,"F",5,"TI_F5",513,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"63","F6",39,1.78931516248973,2.69074091132959,"F",6,"TI_F6",539,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"64","F7",35,1.17607184907092,1.70899405693315,"F",7,"TO_F7",400,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
