"A1" "A10" "A11" "A12" "A2" "A3" "A5" "A6" "A7" "A8" "A9" "B1" "B10" "B11" "B12" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "C1" "C10" "C11" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "D1" "D10" "D11" "D12" "D3" "D4" "D5" "D6" "D7" "D8" "D9" "E1" "E10" "E11" "E12" "E2" "E3" "E4" "E5" "E6" "E7" "E8" "E9" "F1" "F10" "F11" "F12" "F2" "F3" "F4" "F5" "F6" "F7" "F8" "G1" "G10" "G11" "G12" "G2" "G3" "G4" "G5" "G6" "G7" "G8" "G9" "H1" "H10" "H11" "H12" "H2" "H3" "H4" "H5" "H6" "H7" "H8" "H9"
"sq31" 31 0 0 0 128 0 0 0 88 0 0 700 0 0 0 101 0 0 0 310 0 0 0 0 517 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 862 0 0 0 0 0 0 107 0 458 0 0 0 0 0 0 0 0 0 255 0 0 0 0 0 0 0 0 0 0 78 0 0 0 0 112 0 0 0 0 0 0 8 0 0 0 0 0 0 0
"sq32" 0 0 0 0 0 0 345 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1378 1916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq33" 0 75 40 15 0 45 10 15 0 3 0 0 0 0 0 0 8 0 0 0 0 0 24 0 0 16 0 45 18 0 0 5 0 0 3 0 21 0 0 29 16 0 0 0 0 0 14 14 30 0 0 0 13 0 0 0 0 0 0 17 3 0 36 0 0 0 31 15 2532 7 0 33 0 21 54 30 30 4 0 0 160 24 21 0 0 15 0 0 32 0 74 0
"sq34" 0 0 75 276 0 0 22 0 0 0 0 0 367 146 18 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 31 0 199 0 0 0 0 0 0 0 0 319 16 59 0 0 0 4 0 0 0 0 0 165 79 229 0 0 0 0 0 0 0 0 0 112 151 0 0 0 0 0 0 0 0 0 0 854 142 0 0 0 0 0 0 0 59
"sq36" 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 40 1377 0 0 0 0 0 0 0 0 2 0 0 1509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq37" 0 0 58 6 0 99 11 0 0 0 0 0 0 124 0 0 619 0 13 0 0 0 0 0 0 44 0 30 0 205 35 0 0 0 0 0 0 12 44 12 0 0 0 0 0 0 0 5 46 241 0 37 34 92 0 0 0 0 0 13 43 474 0 42 166 54 0 0 0 0 40 0 17 0 12 0 23 0 0 0 0 0 113 0 0 37 0 0 0 0 0 0
"sq39" 0 26 0 0 76 0 0 0 0 0 0 0 21 33 0 0 0 0 0 90 48 21 1209 0 0 0 0 0 0 0 0 0 0 156 0 14 0 0 0 0 0 26 81 66 0 53 57 0 0 0 0 0 0 0 0 85 0 0 0 0 0 114 0 26 0 0 0 42 0 0 28 145 0 0 0 99 34 17 37 0 0 0 50 0 0 0 0 46 0 0 0 77
"sq40" 0 363 0 67 0 35 143 0 0 178 0 0 0 0 0 0 0 0 34 0 0 0 0 8 0 0 0 0 87 68 0 0 134 0 18 0 0 17 0 41 0 121 40 0 0 19 22 80 23 0 0 0 0 0 67 0 447 0 4 0 40 238 0 0 0 0 54 0 0 11 0 0 0 0 0 0 0 105 0 59 0 0 0 80 0 60 25 0 0 23 28 0
"sq42" 0 49 0 0 0 0 0 0 142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1042 0 127 0 13 0 0 0 0 0 0 0 0 0 0 0 479 0 0 0 0 0 0 0 0 0 0 303 0 0 0 0 363 0 0 0 0 0 0 0 0 0 0 0 0 57 0
"sq43" 0 0 0 0 0 0 0 0 0 0 2569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"sq44" 0 0 0 3 0 0 0 0 0 0 2505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq45" 0 0 32 0 0 0 7 0 28 21 0 23 0 12 0 0 8 106 26 5 0 0 0 0 0 21 13 0 0 52 0 0 81 0 0 0 78 48 108 0 13 0 0 653 38 0 3 25 14 145 41 55 143 0 36 0 63 0 0 63 0 100 0 55 45 0 0 21 0 0 25 25 26 16 0 0 41 44 16 35 0 0 0 0 0 4 10 0 39 0 29 0
"sq46" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 24 0 0 0 0 0 0 0 4 0 0 925 714 0 0 0 0 0 0 0 5 0 0 0 573 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
"sq47" 0 0 0 33 47 79 0 0 80 0 11 0 0 56 0 0 39 0 0 0 27 0 0 0 0 0 0 208 0 0 0 0 0 0 0 0 0 0 166 0 0 33 0 0 321 0 0 0 0 43 0 0 0 70 0 10 0 43 0 0 26 128 33 0 0 0 0 105 0 0 0 37 59 0 0 37 11 107 21 0 100 62 0 216 0 0 0 0 0 0 0 0
"sq48" 0 0 0 0 0 0 0 0 0 0 467 0 0 0 0 0 0 0 0 0 0 0 48 0 194 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1231 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 198 0 0 0 0 0 0 0 0 0 0
"sq49" 0 0 0 0 0 57 0 0 0 0 24 0 0 0 0 0 531 0 0 0 0 0 93 0 25 0 0 32 0 0 0 0 0 0 118 0 0 0 0 0 0 0 0 129 0 0 0 0 0 277 0 0 0 0 0 91 0 0 0 0 0 136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 310 0 25 0 0 0 15 0 0 0 0 0 148 0
"sq50" 0 165 79 0 0 0 31 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 437 8 0 0 0 0 35 0 29 0 0 0 0 60 128 0 0 0 0 0 0 0 0 0 89 58 0 0 0 0 0 0 0 0 0 133 0 58 0 0 0 0 0 0 0 0 0 0 0 164 0 76 0 152 0 0 0 0 43 0 78 0 0 0 0 0 0 0 50 50
"sq51" 0 31 135 258 0 0 26 0 0 0 0 0 241 122 10 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 67 56 0 0 19 0 0 0 0 0 120 17 46 0 0 0 0 0 0 0 0 0 0 15 95 0 0 0 0 70 0 0 0 0 0 193 0 0 0 0 31 0 0 0 0 0 303 0 0 0 0 0 28 0 0 18
"sq52" 2 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1459 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 165 0 0 0 0 0 0 0 0 0 0 87 0 0 0 0 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq53" 0 0 246 1459 0 0 0 0 0 0 0 0 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq55" 0 0 47 15 0 0 0 0 0 0 0 34 0 0 25 190 0 0 0 30 0 0 0 0 0 17 48 16 45 0 0 0 0 0 17 0 120 29 0 68 0 0 0 0 0 163 91 11 0 0 0 104 0 0 0 0 0 35 0 0 0 19 0 61 28 30 0 0 28 0 25 63 39 0 24 0 0 74 49 0 19 0 0 35 31 0 4 0 0 0 23 0
"sq56" 9 0 68 6 0 0 6 0 0 0 0 26 0 13 0 0 24 36 0 0 25 0 70 7 0 0 36 0 81 28 56 12 12 10 0 0 25 0 16 17 0 0 0 0 98 0 0 14 6 48 146 13 0 0 0 0 50 28 30 20 0 35 0 10 21 66 0 45 113 0 50 0 0 22 0 0 0 0 0 0 41 0 38 0 0 15 0 0 77 29 0 0
"sq58" 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 417 0 0 0 0 0 0 0 34 0 0 249 0 41 0 0 0 0 0 356 0 0 0 0 0 0 0 0 0 0 210 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 19 0 0 0
"sq62" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 5 0 0 0 26 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 32 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88 163 0 983 0 0 24 5 0 0 0 0
"sq63" 55 78 18 22 0 0 0 0 6 0 49 0 22 29 49 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 55 43 24 0 0 0 0 0 0 20 45 0 0 0 83 0 15 0 12 0 0 0 89 0 34 0 69 0 0 17 71 0 0 0 19 0 0 260 0 19 0 0 12 30 0 0 0 0 46 22 0 74 0 23 0 5 0 0
