row,col,id,fullname,sample,island,site,zone,site_zone
G,8,G8,TO_G8,425,Tahiti,TNW,Forereef,TNW-F
G,9,G9,MSEI_G9,305,Moorea,MSE,Backreef,MSE-B
H,1,H1,MNWI_H1,72,Moorea,MNW,Backreef,MNW-B
H,10,H10,MSEI_H10,378,Moorea,MSE,Backreef,MSE-B
H,11,H11,MSEO_H11,616,Moorea,MSE,Forereef,MSE-F
H,12,H12,MSEO_H12,633,Moorea,MSE,Forereef,MSE-F
H,2,H2,MNWI_H2,101,Moorea,MNW,Backreef,MNW-B
H,3,H3,MNWO_H3,159,Moorea,MNW,Forereef,MNW-F
H,4,H4,MNWO_H4,180,Moorea,MNW,Forereef,MNW-F
H,5,H5,TI_H5,517,Tahiti,TNW,Backreef,TNW-B
H,6,H6,TI_H6,545,Tahiti,TNW,Backreef,TNW-B
H,7,H7,TO_H7,405,Tahiti,TNW,Forereef,TNW-F
H,8,H8,TO_H8,427,Tahiti,TNW,Forereef,TNW-F
H,9,H9,MSEI_H9,307,Moorea,MSE,Backreef,MSE-B
N,1,N1,neg1,neg1,neg,neg,neg,neg
N,2,N2,neg2,neg2,neg,neg,neg,neg
N,3,N3,neg3,neg3,neg,neg,neg,neg
N,4,N4,neg4,neg4,neg,neg,neg,neg
